Time,Description,IP,Slave,Register,Register_Name,Value
2025-07-11 08:45:19,PM C1L1 Substation,10.129.7.21,3,2348,Active Energy Net CH2 (MSW),34379.1953125
2025-07-11 08:50:19,PM C1L1 Substation,10.129.7.21,3,2348,Active Energy Net CH2 (MSW),34379.46875
2025-07-11 08:55:20,PM C1L1 Substation,10.129.7.21,3,2348,Active Energy Net CH2 (MSW),34379.7421875
2025-07-11 09:00:20,PM C1L1 Substation,10.129.7.21,3,2348,Active Energy Net CH2 (MSW),34380.01171875
2025-07-11 09:05:20,PM C1L1 Substation,10.129.7.21,3,2348,Active Energy Net CH2 (MSW),34380.26171875
2025-07-11 09:10:20,PM C1L2 Substation,10.129.7.22,4,2348,Active Energy Net CH2 (MSW),55490.09375
2025-07-11 09:15:20,PM C1L2 Substation,10.129.7.22,4,2348,Active Energy Net CH2 (MSW),55490.4296875
2025-07-11 09:20:20,PM C1L2 Substation,10.129.7.22,4,2348,Active Energy Net CH2 (MSW),55490.765625
2025-07-11 09:25:20,PM C1L2 Substation,10.129.7.22,4,2348,Active Energy Net CH2 (MSW),55491.1015625
2025-07-11 09:30:20,PM C1L2 Substation,10.129.7.22,4,2348,Active Energy Net CH2 (MSW),55491.44140625
2025-07-11 09:35:20,PM C2P Substation,10.129.7.25,5,2348,Active Energy Net CH2 (MSW),76654.9296875
2025-07-11 09:40:20,PM C2P Substation,10.129.7.25,5,2348,Active Energy Net CH2 (MSW),76655.5703125
2025-07-11 09:45:20,PM C2P Substation,10.129.7.25,5,2348,Active Energy Net CH2 (MSW),76656.234375
2025-07-11 09:50:20,PM C2P Substation,10.129.7.25,5,2348,Active Energy Net CH2 (MSW),76656.9140625
